bayesian	('bayesian',)
assumes	('assumes',)
assumes~test	('test~assumes',)
assumes~sign~test	('sign~test~assumes',)
assumes~information	('assumes~information',)
assumes~information~test	('test~assumes~information',)
magnitudes	('magnitudes',)
information~magnitudes	('information~magnitudes',)
assumes~information~magnitudes	('assumes~information~magnitudes',)
assumes~information~magnitudes~test	('test~assumes~information~magnitudes',)
difference~magnitudes~paired	('magnitudes~difference~paired',)
difference~information~magnitudes~paired	('information~magnitudes~difference~paired',)
observation~well	('observation~well',)
observation~paired~well	('paired~observation~well',)
difference~observation~paired~well	('difference~paired~observation~well',)
sign~take	('sign~take',)
sign~take~well	('well~sign~take',)
observation~sign~take~well	('observation~well~sign~take',)
paired~sign~take	('sign~take~paired',)
paired~sign~take~well	('well~sign~take~paired',)
difference~rank	('difference~rank',)
calculate~difference~rank	('calculate~difference~rank',)
calculate~difference~observation~rank	('observation~calculate~difference~rank',)
rank~smallest	('rank~smallest',)
difference~rank~smallest	('difference~rank~smallest',)
calculate~difference~rank~smallest	('calculate~difference~rank~smallest',)
largest~smallest	('smallest~largest',)
largest~rank~smallest	('rank~smallest~largest',)
difference~largest~rank~smallest	('difference~rank~smallest~largest',)
absolute~largest	('largest~absolute',)
absolute~largest~smallest	('smallest~largest~absolute',)
absolute~largest~rank~smallest	('rank~smallest~largest~absolute',)
add	('add',)
add~value	('value~add',)
absolute~add~value	('absolute~value~add',)
absolute~add~largest~value	('largest~absolute~value~add',)
p-value~statistic	('p-value~statistic',)
finally~p-value~statistic	('finally~p-value~statistic',)
appropriate~statistic	('statistic~appropriate',)
appropriate~p-value~statistic	('p-value~statistic~appropriate',)
appropriate~finally~p-value~statistic	('finally~p-value~statistic~appropriate',)
wilcoxon	('wilcoxon',)
table~wilcoxon	('table~wilcoxon',)
appropriate~table~wilcoxon	('appropriate~table~wilcoxon',)
appropriate~statistic~table~wilcoxon	('statistic~appropriate~table~wilcoxon',)
test~wilcoxon	('test~wilcoxon',)
table~test~wilcoxon	('table~wilcoxon~test',)
appropriate~table~test~wilcoxon	('appropriate~table~wilcoxon~test',)
r-estimate~wilcoxon	('r-estimate~wilcoxon',)
r-estimate~test~wilcoxon	('test~r-estimate~wilcoxon',)
signed~wilcoxon	('wilcoxon~signed',)
r-estimate~signed~wilcoxon	('r-estimate~wilcoxon~signed',)
r-estimate~signed~test~wilcoxon	('test~r-estimate~wilcoxon~signed',)
rank~signed	('signed~rank',)
rank~signed~wilcoxon	('wilcoxon~signed~rank',)
r-estimate~rank~signed~wilcoxon	('r-estimate~wilcoxon~signed~rank',)
rank~signed~test	('signed~rank~test',)
rank~signed~test~wilcoxon	('wilcoxon~signed~rank~test',)
rank~statistical~test	('rank~test~statistical',)
rank~signed~statistical~test	('signed~rank~test~statistical',)
fisher~test	('test~fisher',)
fisher~statistical~test	('statistical~test~fisher',)
hypothesis~sign~test	('sign~test~hypothesis',)
fisher~hypothesis~sign~test	('fisher~sign~test~hypothesis',)
hypothesis~sign~testing	('sign~hypothesis~testing',)
paired~testing	('testing~paired',)
hypothesis~paired~testing	('hypothesis~testing~paired',)
paired~parametric	('paired~parametric',)
paired~parametric~testing	('testing~paired~parametric',)
hypothesis~paired~parametric~testing	('hypothesis~testing~paired~parametric',)
parametric~test	('parametric~test',)
paired~parametric~test	('paired~parametric~test',)
paired~parametric~test~testing	('testing~paired~parametric~test',)
parametric~test~wilcoxon	('parametric~test~wilcoxon',)
paired~parametric~test~wilcoxon	('paired~parametric~test~wilcoxon',)
statistic~test	('test~statistic',)
statistic~test~wilcoxon	('wilcoxon~test~statistic',)
algebra~random	('algebra~random',)
algebra~probability~random~variable	('algebra~random~variable~probability',)
axioms	('axioms',)
axioms~probability	('probability~axioms',)
axioms~probability~variable	('variable~probability~axioms',)
conditional~set	('set~conditional',)
denotes~probability	('probability~denotes',)
conditional~denotes~probability	('conditional~probability~denotes',)
conditional~denotes~probability~set	('set~conditional~probability~denotes',)
event~intersection	('intersection~event',)
denotes~event~intersection	('denotes~intersection~event',)
denotes~event~intersection~probability	('probability~denotes~intersection~event',)
event~written	('event~written',)
event~intersection~written	('intersection~event~written',)
denotes~event~intersection~written	('denotes~intersection~event~written',)
papoulis~written	('written~papoulis',)
event~papoulis~written	('event~written~papoulis',)
event~intersection~papoulis~written	('intersection~event~written~papoulis',)
bayes	('bayes',)
bayes~pp	('pp~bayes',)
bayes~papoulis~pp	('papoulis~pp~bayes',)
bayes~papoulis~pp~written	('written~papoulis~pp~bayes',)
bayes~theorem	('bayes~theorem',)
bayes~pp~theorem	('pp~bayes~theorem',)
bayes~papoulis~pp~theorem	('papoulis~pp~bayes~theorem',)
probability~theorem	('theorem~probability',)
bayes~probability~theorem	('probability~bayes~theorem',)
bayes~pp~probability~theorem	('pp~bayes~theorem~probability',)
conditional~probability~theorem	('theorem~conditional~probability',)
bayes~conditional~probability~theorem	('probability~bayes~theorem~conditional',)
inclusion	('inclusion',)
inclusion~probability	('probability~inclusion',)
conditional~inclusion~probability	('conditional~probability~inclusion',)
exclusion	('exclusion',)
exclusion~inclusion	('inclusion~exclusion',)
exclusion~inclusion~probability	('probability~inclusion~exclusion',)
conditional~exclusion~inclusion~probability	('conditional~probability~inclusion~exclusion',)
principle	('principle',)
exclusion~principle	('exclusion~principle',)
exclusion~inclusion~principle	('inclusion~exclusion~principle',)
exclusion~inclusion~principle~probability	('probability~inclusion~exclusion~principle',)
independent~principle	('principle~independent',)
exclusion~independent~principle	('exclusion~principle~independent',)
exclusion~inclusion~independent~principle	('inclusion~exclusion~principle~independent',)
statistic~total	('statistic~total',)
independent~statistic~total	('independent~statistic~total',)
independent~principle~statistic~total	('principle~independent~statistic~total',)
probability~total	('total~probability',)
probability~statistic~total	('statistic~total~probability',)
independent~probability~statistic~total	('independent~statistic~total~probability',)
probability~theorem~total	('total~probability~theorem',)
probability~statistic~theorem~total	('statistic~total~probability~theorem',)
no~probability	('probability~no',)
no~two	('no~two',)
no~probability~two	('probability~no~two',)
out~people	('people~out',)
out~people~two	('two~people~out',)
no~out~people~two	('no~two~people~out',)
group~out	('out~group',)
group~out~people	('people~out~group',)
group~out~people~two	('two~people~out~group',)
matching	('matching',)
group~matching	('group~matching',)
group~matching~out	('out~group~matching',)
group~matching~out~people	('people~out~group~matching',)
birthdays	('birthdays',)
birthdays~matching	('matching~birthdays',)
birthdays~group~matching	('group~matching~birthdays',)
birthdays~group~matching~out	('out~group~matching~birthdays',)
birthdays~out	('birthdays~out',)
birthdays~matching~out	('matching~birthdays~out',)
equally~out	('out~equally',)
birthdays~equally~out	('birthdays~out~equally',)
birthdays~equally~matching~out	('matching~birthdays~out~equally',)
equally~possible	('equally~possible',)
equally~out~possible	('out~equally~possible',)
birthdays~equally~out~possible	('birthdays~out~equally~possible',)
start	('start',)
birthdays~start	('birthdays~start',)
birthdays~possible~start	('possible~birthdays~start',)
birthdays~equally~possible~start	('equally~possible~birthdays~start',)
arbitrary~start	('start~arbitrary',)
arbitrary~birthdays~start	('birthdays~start~arbitrary',)
arbitrary~birthdays~possible~start	('possible~birthdays~start~arbitrary',)
arbitrary~person	('arbitrary~person',)
arbitrary~person~start	('start~arbitrary~person',)
arbitrary~birthdays~person~start	('birthdays~start~arbitrary~person',)
birthday	('birthday',)
birthday~probability	('probability~birthday',)
birthday~person~probability	('person~birthday~probability',)
arbitrary~birthday~person~probability	('arbitrary~person~birthday~probability',)
probability~second	('probability~second',)
birthday~probability~second	('birthday~probability~second',)
birthday~person~probability~second	('person~birthday~probability~second',)
person~second	('second~person',)
person~probability~second	('probability~second~person',)
birthday~person	('person~birthday',)
birthday~person~second	('second~person~birthday',)
birthday~different	('birthday~different',)
birthday~different~person	('person~birthday~different',)
birthday~different~person~second	('second~person~birthday~different',)
different~third	('different~third',)
birthday~different~third	('birthday~different~third',)
birthday~different~person~third	('person~birthday~different~third',)
person~third	('third~person',)
different~person~third	('different~third~person',)
birthday~person~third	('third~person~birthday',)
different~first	('different~first',)
birthday~different~first	('birthday~different~first',)
birthday~different~first~person	('person~birthday~different~first',)
different~first~two	('different~first~two',)
birthday~different~first~two	('birthday~different~first~two',)
two~up	('two~up',)
first~two~up	('first~two~up',)
different~first~two~up	('different~first~two~up',)
through~up	('up~through',)
through~two~up	('two~up~through',)
first~through~two~up	('first~two~up~through',)
th~through	('through~th',)
th~through~up	('up~through~th',)
th~through~two~up	('two~up~through~th',)
explicitly~written	('explicitly~written',)
explicitly~person~written	('person~explicitly~written',)
explicitly~person~th~written	('th~person~explicitly~written',)
factorial~probability	('factorial~probability',)
factorial~probability~term	('term~factorial~probability',)
factorial~probability~term~written	('written~term~factorial~probability',)
probability~two	('probability~two',)
factorial~probability~two	('factorial~probability~two',)
factorial~probability~term~two	('term~factorial~probability~two',)
people~two	('two~people',)
people~probability~two	('probability~two~people',)
factorial~people~probability~two	('factorial~probability~two~people',)
out~people~probability~two	('probability~two~people~out',)
group~same	('group~same',)
group~out~same	('out~group~same',)
group~out~people~same	('people~out~group~same',)
general~probability	('general~probability',)
birthday~general~probability	('birthday~general~probability',)
birthday~general~probability~same	('same~birthday~general~probability',)
shared	('shared',)
birthday~shared	('birthday~shared',)
birthday~probability~shared	('probability~birthday~shared',)
birthday~general~probability~shared	('general~probability~birthday~shared',)
no~shared	('shared~no',)
birthday~no~shared	('birthday~shared~no',)
birthday~no~probability~shared	('probability~birthday~shared~no',)
no~people	('no~people',)
no~people~shared	('shared~no~people',)
birthday~no~people~shared	('birthday~shared~no~people',)
no~out~people	('no~people~out',)
no~out~people~shared	('shared~no~people~out',)
group~no~out~people	('no~people~out~group',)
people~probability	('people~probability',)
group~people~probability	('group~people~probability',)
group~out~people~probability	('out~group~people~probability',)
birthday~people~probability	('people~probability~birthday',)
birthday~group~people~probability	('group~people~probability~birthday',)
birthday~people~probability~shared	('people~probability~birthday~shared',)
people~shared	('shared~people',)
birthday~people~shared	('birthday~shared~people',)
computed~general	('general~computed',)
computed~general~people	('people~general~computed',)
computed~general~people~shared	('shared~people~general~computed',)
computed~general~using	('general~computed~using',)
computed~general~people~using	('people~general~computed~using',)
computed~general~recurrence~using	('general~computed~using~recurrence',)
relation	('relation',)
finch	('finch',)
finch~relation	('relation~finch',)
finch~recurrence~relation	('recurrence~relation~finch',)
finch~recurrence~relation~using	('using~recurrence~relation~finch',)
finch~time	('finch~time',)
finch~relation~time	('relation~finch~time',)
finch~recurrence~relation~time	('recurrence~relation~finch~time',)
recursive	('recursive',)
recursive~time	('time~recursive',)
finch~recursive~time	('finch~time~recursive',)
finch~recursive~relation~time	('relation~finch~time~recursive',)
function~recursive	('recursive~function',)
function~recursive~time	('time~recursive~function',)
finch~function~recursive~time	('finch~time~recursive~function',)
grows	('grows',)
function~grows	('function~grows',)
function~grows~recursive	('recursive~function~grows',)
function~grows~recursive~time	('time~recursive~function~grows',)
exponentially	('exponentially',)
exponentially~grows	('grows~exponentially',)
exponentially~function~grows	('function~grows~exponentially',)
exponentially~function~grows~recursive	('recursive~function~grows~exponentially',)
rapidly	('rapidly',)
exponentially~rapidly	('exponentially~rapidly',)
exponentially~grows~rapidly	('grows~exponentially~rapidly',)
exponentially~function~grows~rapidly	('function~grows~exponentially~rapidly',)
years	('years',)
unwieldy~years	('unwieldy~years',)
become~unwieldy~years	('become~unwieldy~years',)
become~rapidly~unwieldy~years	('rapidly~become~unwieldy~years',)
been~years	('years~been',)
been~unwieldy~years	('unwieldy~years~been',)
become~been~unwieldy~years	('become~unwieldy~years~been',)
existence	('existence',)
assumed~existence	('assumed~existence',)
assumed~been~existence	('been~assumed~existence',)
assumed~been~existence~years	('years~been~assumed~existence',)
leap	('leap',)
existence~leap	('existence~leap',)
assumed~existence~leap	('assumed~existence~leap',)
assumed~been~existence~leap	('been~assumed~existence~leap',)
days	('days',)
days~leap	('leap~days',)
days~existence~leap	('existence~leap~days',)
assumed~days~existence~leap	('assumed~existence~leap~days',)
ignored	('ignored',)
distribution~ignored	('ignored~distribution',)
days~distribution~ignored	('days~ignored~distribution',)
days~distribution~ignored~leap	('leap~days~ignored~distribution',)
birthdays~distribution	('distribution~birthdays',)
birthdays~distribution~ignored	('ignored~distribution~birthdays',)
assumed~birthdays	('birthdays~assumed',)
assumed~birthdays~distribution	('distribution~birthdays~assumed',)
assumed~birthdays~distribution~ignored	('ignored~distribution~birthdays~assumed',)
assumed~uniform	('assumed~uniform',)
assumed~birthdays~uniform	('birthdays~assumed~uniform',)
assumed~birthdays~distribution~uniform	('distribution~birthdays~assumed~uniform',)
throughout~uniform	('uniform~throughout',)
assumed~throughout~uniform	('assumed~uniform~throughout',)
assumed~birthdays~throughout~uniform	('birthdays~assumed~uniform~throughout',)
year	('year',)
throughout~year	('throughout~year',)
throughout~uniform~year	('uniform~throughout~year',)
assumed~throughout~uniform~year	('assumed~uniform~throughout~year',)
actuality	('actuality',)
actuality~increase	('actuality~increase',)
actuality~increase~year	('year~actuality~increase',)
actuality~increase~throughout~year	('throughout~year~actuality~increase',)
average~increase	('increase~average',)
actuality~average~increase	('actuality~increase~average',)
actuality~average~increase~year	('year~actuality~increase~average',)
september	('september',)
average~september	('average~september',)
average~increase~september	('increase~average~september',)
actuality~average~increase~september	('actuality~increase~average~september',)
september~united	('september~united',)
average~september~united	('average~september~united',)
average~increase~september~united	('increase~average~september~united',)
states;	('states;',)
states;~united	('united~states;',)
september~states;~united	('september~united~states;',)
average~september~states;~united	('average~september~united~states;',)
peterson	('peterson',)
peterson~states;	('states;~peterson',)
peterson~states;~united	('united~states;~peterson',)
peterson~september~states;~united	('september~united~states;~peterson',)
number~peterson	('peterson~number',)
number~peterson~states;	('states;~peterson~number',)
number~peterson~states;~united	('united~states;~peterson~number',)
number~people	('number~people',)
number~people~peterson	('peterson~number~people',)
number~people~peterson~states;	('states;~peterson~number~people',)
least~people	('people~least',)
least~number~people	('number~people~least',)
least~number~people~peterson	('peterson~number~people~least',)
chance	('chance',)
chance~least	('least~chance',)
chance~least~people	('people~least~chance',)
chance~least~number~people	('number~people~least~chance',)
chance~least~two	('chance~least~two',)
share	('share',)
share~two	('two~share',)
least~share~two	('least~two~share',)
chance~least~share~two	('chance~least~two~share',)
birthdays~share	('share~birthdays',)
birthdays~share~two	('two~share~birthdays',)
birthdays~least~share~two	('least~two~share~birthdays',)
birthdays~smallest	('birthdays~smallest',)
birthdays~share~smallest	('share~birthdays~smallest',)
birthdays~share~smallest~two	('two~share~birthdays~smallest',)
birthdays~number~smallest	('birthdays~smallest~number',)
birthdays~number~share~smallest	('share~birthdays~smallest~number',)
number~people~smallest	('smallest~number~people',)
birthdays~number~people~smallest	('birthdays~smallest~number~people',)
obtain~people	('people~obtain',)
number~obtain~people	('number~people~obtain',)
number~obtain~people~smallest	('smallest~number~people~obtain',)
obtain~oeis	('obtain~oeis',)
obtain~oeis~people	('people~obtain~oeis',)
number~obtain~oeis~people	('number~people~obtain~oeis',)
a033810	('a033810',)
a033810~minimal	('a033810~minimal',)
a033810~minimal~oeis	('oeis~a033810~minimal',)
a033810~minimal~obtain~oeis	('obtain~oeis~a033810~minimal',)
minimal~number	('minimal~number',)
a033810~minimal~number	('a033810~minimal~number',)
a033810~minimal~number~oeis	('oeis~a033810~minimal~number',)
minimal~number~people	('minimal~number~people',)
a033810~minimal~number~people	('a033810~minimal~number~people',)
number~people~probability	('number~people~probability',)
minimal~number~people~probability	('minimal~number~people~probability',)
least~probability	('probability~least',)
least~people~probability	('people~probability~least',)
least~number~people~probability	('number~people~probability~least',)
coincident	('coincident',)
coincident~least	('least~coincident',)
coincident~least~probability	('probability~least~coincident',)
coincident~least~people~probability	('people~probability~least~coincident',)
birthdays~coincident	('coincident~birthdays',)
birthdays~coincident~least	('least~coincident~birthdays',)
birthdays~coincident~least~probability	('probability~least~coincident~birthdays',)
birthdays~oeis	('birthdays~oeis',)
birthdays~coincident~oeis	('coincident~birthdays~oeis',)
birthdays~coincident~least~oeis	('least~coincident~birthdays~oeis',)
a014088	('a014088',)
;~a014088	('a014088~;',)
;~a014088~oeis	('oeis~a014088~;',)
;~a014088~birthdays~oeis	('birthdays~oeis~a014088~;',)
diaconis	('diaconis',)
;~diaconis	(';~diaconis',)
;~a014088~diaconis	('a014088~;~diaconis',)
;~a014088~diaconis~oeis	('oeis~a014088~;~diaconis',)
mosteller	('mosteller',)
diaconis~mosteller	('diaconis~mosteller',)
;~diaconis~mosteller	(';~diaconis~mosteller',)
;~a014088~diaconis~mosteller	('a014088~;~diaconis~mosteller',)
mosteller~probability	('mosteller~probability',)
diaconis~mosteller~probability	('diaconis~mosteller~probability',)
;~diaconis~mosteller~probability	(';~diaconis~mosteller~probability',)
estimated~probability	('probability~estimated',)
estimated~mosteller~probability	('mosteller~probability~estimated',)
diaconis~estimated~mosteller~probability	('diaconis~mosteller~probability~estimated',)
latter	('latter',)
estimated~latter	('estimated~latter',)
estimated~latter~probability	('probability~estimated~latter',)
estimated~latter~mosteller~probability	('mosteller~probability~estimated~latter',)
error~latter	('latter~error',)
error~estimated~latter	('estimated~latter~error',)
error~estimated~latter~probability	('probability~estimated~latter~error',)
sayrafiezadeh	('sayrafiezadeh',)
error~sayrafiezadeh	('error~sayrafiezadeh',)
error~latter~sayrafiezadeh	('latter~error~sayrafiezadeh',)
error~estimated~latter~sayrafiezadeh	('estimated~latter~error~sayrafiezadeh',)
computed~sayrafiezadeh	('sayrafiezadeh~computed',)
computed~error~sayrafiezadeh	('error~sayrafiezadeh~computed',)
computed~error~latter~sayrafiezadeh	('latter~error~sayrafiezadeh~computed',)
computed~explicitly	('computed~explicitly',)
computed~explicitly~sayrafiezadeh	('sayrafiezadeh~computed~explicitly',)
computed~error~explicitly~sayrafiezadeh	('error~sayrafiezadeh~computed~explicitly',)
binomial~explicitly	('explicitly~binomial',)
binomial~computed~explicitly	('computed~explicitly~binomial',)
binomial~computed~explicitly~sayrafiezadeh	('sayrafiezadeh~computed~explicitly~binomial',)
coefficient~hypergeometric	('coefficient~hypergeometric',)
binomial~coefficient~hypergeometric	('binomial~coefficient~hypergeometric',)
binomial~coefficient~explicitly~hypergeometric	('explicitly~binomial~coefficient~hypergeometric',)
explicit~function	('function~explicit',)
explicit~function~hypergeometric	('hypergeometric~function~explicit',)
coefficient~explicit~function~hypergeometric	('coefficient~hypergeometric~function~explicit',)
explicit~formula	('explicit~formula',)
explicit~formula~function	('function~explicit~formula',)
explicit~formula~function~hypergeometric	('hypergeometric~function~explicit~formula',)
regularized	('regularized',)
formula~regularized	('formula~regularized',)
explicit~formula~regularized	('explicit~formula~regularized',)
explicit~formula~function~regularized	('function~explicit~formula~regularized',)
hypergeometric~regularized	('regularized~hypergeometric',)
formula~hypergeometric~regularized	('formula~regularized~hypergeometric',)
explicit~formula~hypergeometric~regularized	('explicit~formula~regularized~hypergeometric',)
approximation~function	('function~approximation',)
approximation~function~hypergeometric	('hypergeometric~function~approximation',)
approximation~function~hypergeometric~regularized	('regularized~hypergeometric~function~approximation',)
approximation~number	('approximation~number',)
approximation~function~number	('function~approximation~number',)
approximation~function~hypergeometric~number	('hypergeometric~function~approximation~number',)
approximation~number~people	('approximation~number~people',)
approximation~function~number~people	('function~approximation~number~people',)
people~value	('people~value',)
number~people~value	('number~people~value',)
approximation~number~people~value	('approximation~number~people~value',)
solving~value	('value~solving',)
people~solving~value	('people~value~solving',)
number~people~solving~value	('number~people~value~solving',)
equation~solving	('solving~equation',)
equation~solving~value	('value~solving~equation',)
equation~people~solving~value	('people~value~solving~equation',)
ceiling~equation	('equation~ceiling',)
ceiling~equation~solving	('solving~equation~ceiling',)
ceiling~equation~solving~value	('value~solving~equation~ceiling',)
diaconis~function	('function~diaconis',)
ceiling~diaconis~function	('ceiling~function~diaconis',)
ceiling~diaconis~equation~function	('equation~ceiling~function~diaconis',)
diaconis~function~mosteller	('function~diaconis~mosteller',)
ceiling~diaconis~function~mosteller	('ceiling~function~diaconis~mosteller',)
formula~mosteller	('mosteller~formula',)
diaconis~formula~mosteller	('diaconis~mosteller~formula',)
diaconis~formula~function~mosteller	('function~diaconis~mosteller~formula',)
formula~oeis	('formula~oeis',)
formula~mosteller~oeis	('mosteller~formula~oeis',)
diaconis~formula~mosteller~oeis	('diaconis~mosteller~formula~oeis',)
a050255	('a050255',)
differ	('differ',)
a050255~differ	('a050255~differ',)
a050255~differ~oeis	('oeis~a050255~differ',)
a050255~differ~formula~oeis	('formula~oeis~a050255~differ',)
differ~true	('differ~true',)
a050255~differ~true	('a050255~differ~true',)
a050255~differ~oeis~true	('oeis~a050255~differ~true',)
simpler~value	('value~simpler',)
simpler~true~value	('true~value~simpler',)
differ~simpler~true~value	('differ~true~value~simpler',)
poorer	('poorer',)
poorer~simpler	('simpler~poorer',)
poorer~simpler~value	('value~simpler~poorer',)
poorer~simpler~true~value	('true~value~simpler~poorer',)
approximation~poorer	('poorer~approximation',)
approximation~poorer~simpler	('simpler~poorer~approximation',)
approximation~poorer~simpler~value	('value~simpler~poorer~approximation',)
approximation~diaconis	('approximation~diaconis',)
approximation~diaconis~poorer	('poorer~approximation~diaconis',)
approximation~diaconis~poorer~simpler	('simpler~poorer~approximation~diaconis',)
approximation~diaconis~mosteller	('approximation~diaconis~mosteller',)
approximation~diaconis~mosteller~poorer	('poorer~approximation~diaconis~mosteller',)
mosteller~oeis	('mosteller~oeis',)
diaconis~mosteller~oeis	('diaconis~mosteller~oeis',)
approximation~diaconis~mosteller~oeis	('approximation~diaconis~mosteller~oeis',)
a050256	('a050256',)
a050256~birthday	('a050256~birthday',)
a050256~birthday~oeis	('oeis~a050256~birthday',)
a050256~birthday~mosteller~oeis	('mosteller~oeis~a050256~birthday',)
asks	('asks',)
asks~problem	('problem~asks',)
asks~birthday~problem	('birthday~problem~asks',)
a050256~asks~birthday~problem	('a050256~birthday~problem~asks',)
asks~number	('asks~number',)
asks~number~problem	('problem~asks~number',)
asks~birthday~number~problem	('birthday~problem~asks~number',)
asks~number~people	('asks~number~people',)
asks~number~people~problem	('problem~asks~number~people',)
number~people~two	('number~people~two',)
asks~number~people~two	('asks~number~people~two',)
birthday~two	('two~birthday',)
birthday~people~two	('people~two~birthday',)
birthday~number~people~two	('number~people~two~birthday',)
birthday~within	('birthday~within',)
birthday~two~within	('two~birthday~within',)
birthday~people~two~within	('people~two~birthday~within',)
day	('day',)
day~within	('within~day',)
birthday~day~within	('birthday~within~day',)
birthday~day~two~within	('two~birthday~within~day',)
abramson	('abramson',)
abramson~other	('other~abramson',)
abramson~day~other	('day~other~abramson',)
abramson~day~other~within	('within~day~other~abramson',)
moser	('moser',)
abramson~moser	('abramson~moser',)
abramson~moser~other	('other~abramson~moser',)
abramson~day~moser~other	('day~other~abramson~moser',)
moser~who	('moser~who',)
abramson~moser~who	('abramson~moser~who',)
abramson~moser~other~who	('other~abramson~moser~who',)
people~who	('who~people',)
moser~people~who	('moser~who~people',)
abramson~moser~people~who	('abramson~moser~who~people',)
suffice	('suffice',)
approximation~suffice	('suffice~approximation',)
approximation~people~suffice	('people~suffice~approximation',)
approximation~people~suffice~who	('who~people~suffice~approximation',)
approximation~minimum	('approximation~minimum',)
approximation~minimum~suffice	('suffice~approximation~minimum',)
approximation~minimum~people~suffice	('people~suffice~approximation~minimum',)
minimum~number	('minimum~number',)
approximation~minimum~number	('approximation~minimum~number',)
approximation~minimum~number~suffice	('suffice~approximation~minimum~number',)
minimum~number~people	('minimum~number~people',)
approximation~minimum~number~people	('approximation~minimum~number~people',)
get~people	('people~get',)
get~number~people	('number~people~get',)
get~minimum~number~people	('minimum~number~people~get',)
chance~get	('get~chance',)
chance~get~people	('people~get~chance',)
chance~get~number~people	('number~people~get~chance',)
chance~two	('chance~two',)
chance~get~two	('get~chance~two',)
chance~get~people~two	('people~get~chance~two',)
match	('match',)
match~two	('two~match',)
chance~match~two	('chance~two~match',)
chance~get~match~two	('get~chance~two~match',)
match~within	('match~within',)
match~two~within	('two~match~within',)
chance~match~two~within	('chance~two~match~within',)
days~within	('within~days',)
days~match~within	('match~within~days',)
days~match~two~within	('two~match~within~days',)
days~out	('days~out',)
days~out~within	('within~days~out',)
days~match~out~within	('match~within~days~out',)
out~possible	('out~possible',)
days~out~possible	('days~out~possible',)
days~out~possible~within	('within~days~out~possible',)
sevast'yanov	("sevast'yanov",)
possible~sevast'yanov	("possible~sevast'yanov",)
out~possible~sevast'yanov	("out~possible~sevast'yanov",)
days~out~possible~sevast'yanov	("days~out~possible~sevast'yanov",)
diaconis~sevast'yanov	("sevast'yanov~diaconis",)
diaconis~possible~sevast'yanov	("possible~sevast'yanov~diaconis",)
diaconis~out~possible~sevast'yanov	("out~possible~sevast'yanov~diaconis",)
diaconis~mosteller~sevast'yanov	("sevast'yanov~diaconis~mosteller",)
diaconis~mosteller~possible~sevast'yanov	("possible~sevast'yanov~diaconis~mosteller",)
birthday~mosteller	('mosteller~birthday',)
birthday~diaconis~mosteller	('diaconis~mosteller~birthday',)
birthday~diaconis~mosteller~sevast'yanov	("sevast'yanov~diaconis~mosteller~birthday",)
birthday~problem	('birthday~problem',)
birthday~mosteller~problem	('mosteller~birthday~problem',)
birthday~diaconis~mosteller~problem	('diaconis~mosteller~birthday~problem',)
probability~problem	('problem~probability',)
birthday~probability~problem	('problem~probability~birthday',)
birthday~mosteller~probability~problem	('mosteller~birthday~problem~probability',)
attack	('attack',)
attack~birthday	('birthday~attack',)
attack~birthday~probability	('probability~birthday~attack',)
attack~birthday~probability~problem	('problem~probability~birthday~attack',)
coincidence	('coincidence',)
attack~coincidence	('attack~coincidence',)
attack~birthday~coincidence	('birthday~attack~coincidence',)
attack~birthday~coincidence~probability	('probability~birthday~attack~coincidence',)
coincidence~small	('coincidence~small',)
attack~coincidence~small	('attack~coincidence~small',)
attack~birthday~coincidence~small	('birthday~attack~coincidence~small',)
small~world	('small~world',)
coincidence~small~world	('coincidence~small~world',)
attack~coincidence~small~world	('attack~coincidence~small~world',)
problem~world	('world~problem',)
problem~small~world	('small~world~problem',)
coincidence~problem~small~world	('coincidence~small~world~problem',)
sultan	('sultan',)
problem~sultan	('problem~sultan',)
problem~sultan~world	('world~problem~sultan',)
problem~small~sultan~world	('small~world~problem~sultan',)
dowry	('dowry',)
dowry~sultan	('sultan~dowry',)
dowry~problem~sultan	('problem~sultan~dowry',)
dowry~problem~sultan~world	('world~problem~sultan~dowry',)
dowry~problem	('dowry~problem',)
probability~true	('true~probability',)
least~probability~true	('true~probability~least',)
least~one	('least~one',)
least~one~probability	('probability~least~one',)
least~one~probability~true	('true~probability~least~one',)
bonferroni	('bonferroni',)
bonferroni~true	('true~bonferroni',)
bonferroni~one~true	('one~true~bonferroni',)
bonferroni~least~one~true	('least~one~true~bonferroni',)
boole	('boole',)
boole~inequality	('inequality~boole',)
bonferroni~boole~inequality	('bonferroni~inequality~boole',)
bonferroni~boole~inequality~true	('true~bonferroni~inequality~boole',)
denotes~inequality	('inequality~denotes',)
boole~denotes~inequality	('boole~inequality~denotes',)
disjoint	('disjoint',)
denotes~disjoint	('denotes~disjoint',)
denotes~disjoint~inequality	('inequality~denotes~disjoint',)
boole~denotes~disjoint~inequality	('boole~inequality~denotes~disjoint',)
beautiful	('beautiful',)
beautiful~equality	('equality~beautiful',)
beautiful~become~equality	('become~equality~beautiful',)
beautiful~become~equality~inequality	('inequality~become~equality~beautiful',)
beautiful~theorem	('beautiful~theorem',)
beautiful~equality~theorem	('equality~beautiful~theorem',)
beautiful~become~equality~theorem	('become~equality~beautiful~theorem',)
exact~theorem	('theorem~exact',)
beautiful~exact~theorem	('beautiful~theorem~exact',)
beautiful~equality~exact~theorem	('equality~beautiful~theorem~exact',)
exact~relationship	('exact~relationship',)
exact~relationship~theorem	('theorem~exact~relationship',)
