bayesian	{'0': 7, '94': 1, '234': 1, '459': 1}
population~iii	{'153': 1}
sample~population~iii	{'153': 1}
conjecture	{'153': 1, '274': 2, '397': 2}
subsequently	{'153': 1, '507': 1}
sample~subsequently	{'153': 1}
proven	{'153': 1, '195': 1, '304': 1, '305': 1, '563': 1}
population~proven	{'153': 1}
sample~population~proven	{'153': 1}
variance~above	{'153': 1}
sample~variance~above	{'153': 1}
moment~sample~variance~above	{'153': 1}
varying	{'153': 1}
moment~mean	{'153': 1}
central~moment~mean	{'153': 1}
population~central~moment~mean	{'153': 1}
expected~sample	{'153': 1}
mean~expected~sample	{'153': 1}
value~variance	{'153': 1}
expected~value~variance	{'153': 1}
mean~expected~value~variance	{'153': 1}
size~standard	{'153': 1}
sample~size~standard	{'153': 1}
value~sample~size~standard	{'153': 1}
similarly~deviation	{'153': 1}
size~similarly~deviation	{'153': 1}
sample~size~similarly~deviation	{'153': 1}
correction~applied	{'154': 1}
applied~measured	{'154': 1}
correction~applied~measured	{'154': 1}
distributed	{'154': 1, '156': 1, '163': 2, '166': 3, '261': 1, '266': 1, '268': 1, '278': 1, '280': 1, '281': 2, '283': 2, '290': 1, '294': 1, '297': 1, '305': 1, '322': 1, '354': 1, '391': 1, '399': 1, '408': 1, '459': 1, '460': 1, '465': 3, '470': 1, '477': 1, '481': 1, '482': 2, '497': 1, '504': 1, '506': 1, '508': 1, '509': 1, '510': 2, '511': 6, '517': 1, '521': 1, '523': 2, '536': 1, '556': 3, '570': 2, '573': 2, '582': 1}
correction~been	{'154': 1}
correction~obtain	{'154': 1}
applied~correct	{'154': 1}
correction~applied~correct	{'154': 1}
corrected	{'154': 2, '464': 1}
moment~fourth	{'154': 1}
measured~moment~fourth	{'154': 1}
applied~measured~moment~fourth	{'154': 1}
ungrouped	{'154': 1}
correction~distribution	{'154': 2}
applied~under	{'154': 1}
correction~applied~under	{'154': 1}
restrictive	{'154': 1}
measured~restrictive	{'154': 1}
applied~measured~restrictive	{'154': 1}
correction~applied~measured~restrictive	{'154': 1}
proof	{'154': 1, '280': 2, '570': 2}
see	{'154': 1, '188': 1, '192': 2, '255': 1, '321': 1, '322': 1, '420': 1, '513': 1, '519': 1, '576': 1}
correction~see	{'154': 1}
applied~kendall	{'154': 1}
correction~applied~kendall	{'154': 1}
moment~class	{'154': 1}
measured~moment~class	{'154': 1}
applied~measured~moment~class	{'154': 1}
skewness~measure	{'155': 1}
skewness~measure~degree	{'155': 1}
skewness~measure~degree~asymmetry	{'155': 1}
distribution~left	{'155': 1}
asymmetry~distribution~left	{'155': 1}
degree~asymmetry~distribution~left	{'155': 1}
skewness~small	{'155': 1}
measure~end	{'155': 1}
skewness~measure~end	{'155': 1}
pronounced	{'155': 1}
asymmetry~pronounced	{'155': 1}
degree~asymmetry~pronounced	{'155': 1}
measure~degree~asymmetry~pronounced	{'155': 1}
distribution~right	{'155': 1}
asymmetry~distribution~right	{'155': 1}
degree~asymmetry~distribution~right	{'155': 1}
left~tail	{'155': 2}
distribution~left~tail	{'155': 2}
asymmetry~distribution~left~tail	{'155': 1}
tail~large	{'155': 1}
left~tail~large	{'155': 1}
small~end	{'155': 1}
tail~small~end	{'155': 1}
distribution~function	{'155': 1, '163': 1, '354': 1, '472': 1, '475': 1, '494': 1, '512': 1, '523': 1, '527': 2, '531': 3, '540': 1, '556': 6, '557': 1, '558': 3, '564': 2}
end~distribution~function	{'155': 1}
small~end~distribution~function	{'155': 1}
reverse	{'155': 1, '250': 1}
skewness~reverse	{'155': 1}
skewness~two	{'155': 1}
degree~zero	{'155': 1}
measure~degree~zero	{'155': 1}
skewness~measure~degree~zero	{'155': 1}
measure~skewness	{'155': 2}
degree~notation	{'155': 1}
measure~degree~notation	{'155': 1}
skewness~measure~degree~notation	{'155': 1}
asymmetry~unfortunately	{'155': 1}
degree~asymmetry~unfortunately	{'155': 1}
measure~degree~asymmetry~unfortunately	{'155': 1}
confusing	{'155': 1, '199': 1}
left~skewness	{'155': 1}
distribution~left~skewness	{'155': 1}
asymmetry~distribution~left~skewness	{'155': 1}
tail~distribution	{'155': 1}
left~tail~distribution	{'155': 1}
due	{'155': 2, '166': 1, '178': 1, '272': 1, '298': 1, '414': 1, '507': 1, '508': 2, '563': 1}
skewness~karl	{'155': 1}
measure~kenney	{'155': 1}
skewness~measure~kenney	{'155': 1}
degree~encountered	{'155': 1}
measure~degree~encountered	{'155': 1}
skewness~measure~degree~encountered	{'155': 1}
asymmetry~kenney	{'155': 1}
degree~asymmetry~kenney	{'155': 1}
measure~degree~asymmetry~kenney	{'155': 1}
left~kenney	{'155': 1}
distribution~left~kenney	{'155': 1}
asymmetry~distribution~left~kenney	{'155': 1}
tail~abramowitz	{'155': 1}
left~tail~abramowitz	{'155': 1}
small~stegun	{'155': 1}
tail~small~stegun	{'155': 1}
distribution~abramowitz	{'155': 1}
end~distribution~abramowitz	{'155': 1}
small~end~distribution~abramowitz	{'155': 1}
pronounced~stegun	{'155': 1}
distribution~pronounced~stegun	{'155': 1}
end~distribution~pronounced~stegun	{'155': 1}
tail~confusingly	{'155': 1}
right~tail~confusingly	{'155': 1}
pronounced~right~tail~confusingly	{'155': 1}
skewness~measure~normal	{'155': 1}
degree~population	{'155': 1}
measure~degree~population	{'155': 1}
skewness~measure~degree~population	{'155': 1}
skewness~table	{'155': 1}
measure~degree~number	{'155': 1}
skewness~measure~degree~number	{'155': 1}
asymmetry~common	{'155': 1}
degree~asymmetry~common	{'155': 1}
measure~degree~asymmetry~common	{'155': 1}
skewness~value	{'155': 1}
f-distribution	{'155': 2, '172': 1, '467': 1, '477': 2, '478': 1, '492': 2, '504': 3, '521': 1}
hypergeometric	{'155': 1, '183': 2, '227': 1, '280': 1, '322': 1, '324': 1, '347': 1, '395': 1, '459': 2, '465': 1, '477': 1, '503': 1, '504': 1, '505': 1, '512': 1, '521': 1, '523': 1, '536': 1, '537': 2, '539': 1, '543': 1, '545': 4, '550': 1}
skewness~normal	{'155': 1}
skewness~binomial	{'155': 1}
snedecor'	{'155': 1}
skewness~other	{'155': 1}
degree~skewness	{'155': 1}
measure~degree~skewness	{'155': 1}
skewness~mode	{'155': 1}
measure~bowley	{'155': 1}
skewness~measure~bowley	{'155': 1}
asymmetry~gamma	{'155': 1}
degree~asymmetry~gamma	{'155': 1}
measure~degree~asymmetry~gamma	{'155': 1}
left~graph	{'155': 1}
distribution~left~graph	{'155': 1}
asymmetry~distribution~left~graph	{'155': 1}
end~momental	{'155': 1}
small~end~momental	{'155': 1}
tail~small~end~momental	{'155': 1}
pronounced~standard	{'155': 1}
distribution~pronounced~standard	{'155': 1}
end~distribution~pronounced~standard	{'155': 1}
standard~deviation	{'156': 8}
standard~distribution	{'156': 1}
standard~second	{'156': 1}
standard~root	{'156': 1}
standard~sample	{'156': 1}
probability~deviation	{'156': 2}
standard~probability~deviation	{'156': 2}
though	{'156': 1, '166': 1, '211': 1, '213': 2, '224': 1, '254': 1}
well-studied	{'156': 1}
standard~well-studied	{'156': 1}
well-understood	{'156': 1}
widespread	{'156': 1}
standard~widespread	{'156': 1}
inconsistent	{'156': 1}
deviation~inconsistent	{'156': 1}
standard~deviation~inconsistent	{'156': 1}
ambiguous	{'156': 1}
probability~ambiguous	{'156': 1}
deviation~probability~ambiguous	{'156': 1}
standard~deviation~probability~ambiguous	{'156': 1}
distribution~square	{'156': 1}
probability~distribution~square	{'156': 1}
deviation~probability~distribution~square	{'156': 1}
square~root	{'156': 1}
distribution~square~root	{'156': 1}
probability~distribution~square~root	{'156': 1}
root~bias-corrected	{'156': 1}
square~root~bias-corrected	{'156': 1}
distribution~square~root~bias-corrected	{'156': 1}
root~variance	{'156': 1}
square~root~variance	{'156': 1}
variance~mean~standard	{'156': 1}
root~variance~mean~standard	{'156': 1}
standard~data	{'156': 1}
standarddeviation	{'156': 1}
standard~use	{'156': 1}
deviation~term	{'156': 1}
standard~deviation~term	{'156': 1}
standard~squared	{'156': 1}
probability~quantity	{'156': 1}
deviation~probability~quantity	{'156': 1}
standard~deviation~probability~quantity	{'156': 1}
naturally	{'156': 1, '297': 1, '482': 1}
deviation~naturally	{'156': 1}
standard~deviation~naturally	{'156': 1}
probability~mathematical	{'156': 1}
deviation~probability~mathematical	{'156': 1}
standard~deviation~probability~mathematical	{'156': 1}
square~through	{'156': 1}
distribution~square~through	{'156': 1}
probability~distribution~square~through	{'156': 1}
root~definition	{'156': 1}
square~root~definition	{'156': 1}
distribution~square~root~definition	{'156': 1}
mean~second	{'156': 1}
variance~mean~second	{'156': 1}
root~variance~mean~second	{'156': 1}
standard~less	{'156': 1}
standard~deviation~frequently	{'156': 1}
probability~encountered	{'156': 1}
deviation~probability~encountered	{'156': 1}
standard~deviation~probability~encountered	{'156': 1}
distribution~measure	{'156': 1}
probability~distribution~measure	{'156': 1}
deviation~probability~distribution~measure	{'156': 1}
square~average	{'156': 1}
distribution~square~average	{'156': 1}
probability~distribution~square~average	{'156': 1}
root~deviation	{'156': 1}
square~root~deviation	{'156': 1}
distribution~square~root~deviation	{'156': 1}
deviation~distribution	{'156': 1}
standard~deviation~distribution	{'156': 1}
probability~finite	{'156': 1}
deviation~probability~finite	{'156': 1}
standard~deviation~probability~finite	{'156': 1}
distribution~first	{'156': 1, '354': 1, '503': 1, '530': 1}
probability~distribution~first	{'156': 1}
deviation~probability~distribution~first	{'156': 1}
square~two	{'156': 1}
distribution~square~two	{'156': 1}
probability~distribution~square~two	{'156': 1}
variance~most	{'156': 1}
root~variance~most	{'156': 1}
square~root~variance~most	{'156': 1}
mean~common	{'156': 1, '391': 1, '507': 1}
variance~mean~common	{'156': 1}
root~variance~mean~common	{'156': 1}
second~underlying	{'156': 1}
mean~second~underlying	{'156': 1}
variance~mean~second~underlying	{'156': 1}
second~raw~distribution	{'156': 1}
mean~second~raw~distribution	{'156': 1}
denotes~under	{'156': 1}
moment~denotes~under	{'156': 1}
raw~moment~denotes~under	{'156': 1}
assumption	{'156': 1, '174': 1, '234': 1, '327': 1, '392': 1, '407': 1, '408': 1, '409': 1, '507': 1}
value~variate	{'156': 1}
expectation~value~variate	{'156': 1}
denotes~expectation~value~variate	{'156': 1}
variance~value	{'156': 1, '507': 1}
expectation~variance~value	{'156': 1}
producing	{'156': 1, '335': 1}
equal~producing	{'156': 1}
variance~equal~producing	{'156': 1}
value~variance~equal~producing	{'156': 1}
ci	{'156': 3, '453': 2}
standard~denoted	{'156': 1}
standard~table	{'156': 1}
distribution~again	{'156': 1}
probability~distribution~again	{'156': 1}
deviation~probability~distribution~again	{'156': 1}
square~data	{'156': 1}
distribution~square~data	{'156': 1}
probability~distribution~square~data	{'156': 1}
root~normally	{'156': 1}
square~root~normally	{'156': 1}
distribution~square~root~normally	{'156': 1}
probability~range	{'156': 1}
deviation~probability~range	{'156': 1}
standard~deviation~probability~range	{'156': 1}
deviation~probability~central	{'156': 1}
standard~deviation~probability~central	{'156': 1}
square~confidence	{'156': 1}
distribution~square~confidence	{'156': 1}
probability~distribution~square~confidence	{'156': 1}
root~variance~mean	{'156': 1}
moment~normal	{'156': 1}
raw~moment~normal	{'156': 1}
second~raw~moment~normal	{'156': 1}
value~standard	{'156': 1}
expectation~value~standard	{'156': 1}
denotes~expectation~value~standard	{'156': 1}
variance~deviation	{'156': 1}
value~variance~deviation	{'156': 1}
expectation~value~variance~deviation	{'156': 1}
equal~second~sample	{'156': 1}
variance~equal~second~sample	{'156': 1}
second~central~moment~sample	{'156': 1}
square~standard	{'156': 1}
mean~square~standard	{'156': 1}
moment~mean~square~standard	{'156': 1}
standard~function	{'157': 2}
sample~standard~function	{'157': 2}
sample~above	{'157': 1}
orange	{'157': 1}
blue	{'157': 1, '193': 1, '425': 1, '509': 1}
sample~process	{'157': 1}
control	{'157': 1, '378': 1}
standard~control	{'157': 1}
sample~standard~control	{'157': 1}
duncan	{'157': 1}
deviation~duncan	{'157': 1}
standard~deviation~duncan	{'157': 1}
sample~standard~deviation~duncan	{'157': 1}
romanovsky	{'157': 2}
population~romanovsky	{'157': 1}
sample~population~romanovsky	{'157': 1}
deviation~sample~population~romanovsky	{'157': 1}
a088801	{'157': 1}
a088802	{'157': 1}
;	{'157': 1, '166': 1, '183': 1, '188': 1, '221': 1, '236': 1, '268': 1, '301': 1, '304': 1, '307': 1, '318': 1, '349': 1, '517': 1, '522': 1, '544': 1}
sample~romanovsky	{'157': 1}
standard~pearson	{'157': 1}
sample~standard~pearson	{'157': 1}
deviation~kenney	{'157': 1}
standard~deviation~kenney	{'157': 1}
sample~standard~deviation~kenney	{'157': 1}
sample~deviation	{'157': 1}
deviation~sample	{'157': 1}
standard~deviation~sample	{'157': 1}
normal~sample	{'157': 1}
population~normal~sample	{'157': 1}
distribution~variance	{'157': 1}
normal~distribution~variance	{'157': 1}
population~normal~distribution~variance	{'157': 1}
gamma~standard	{'157': 1}
distribution~gamma~standard	{'157': 1}
appear	{'158': 1, '189': 2, '192': 1, '250': 1, '323': 1, '347': 1}
appear~two	{'158': 1}
two~different	{'158': 1, '183': 1, '367': 1}
appear~two~different	{'158': 1}
definition~standard	{'158': 1}
different~definition~standard	{'158': 1}
two~different~definition~standard	{'158': 1}
appear~error	{'158': 2}
appear~two~sample	{'158': 1}
appear~definition	{'158': 1}
two~no	{'158': 1}
appear~two~no	{'158': 1}
reference	{'158': 1, '178': 1, '293': 1, '359': 1}
different~reference	{'158': 1}
two~different~reference	{'158': 1}
appear~two~different~reference	{'158': 1}
two~quantity	{'158': 1, '345': 1}
appear~two~quantity	{'158': 1}
implicitly	{'158': 1}
different~implicitly	{'158': 1}
two~different~implicitly	{'158': 1}
appear~two~different~implicitly	{'158': 1}
two~estimate	{'158': 1}
appear~two~estimate	{'158': 1}
different~square	{'158': 1}
two~different~square	{'158': 1}
appear~two~different~square	{'158': 1}
definition~root	{'158': 1}
different~definition~root	{'158': 1}
two~different~definition~root	{'158': 1}
standard~estimated	{'158': 1}
definition~standard~estimated	{'158': 1}
different~definition~standard~estimated	{'158': 1}
standard~error	{'158': 1}
definition~standard~error	{'158': 1}
two~zwillinger	{'158': 1}
appear~two~zwillinger	{'158': 1}
definition~population	{'158': 1}
different~definition~population	{'158': 1}
two~different~definition~population	{'158': 1}
error~probable	{'158': 1}
standard~error~probable	{'158': 1}
definition~standard~error~probable	{'158': 1}
error~sample	{'158': 1}
standard~error~sample	{'158': 1}
sample~standard	{'158': 1, '161': 1}
error~sample~standard	{'158': 1}
single~variance	{'160': 1}
whereas	{'160': 1, '237': 1, '278': 1, '565': 1}
single~equal	{'160': 1}
variate~second	{'160': 1}
single~variate~second	{'160': 1}
interpreting	{'160': 1, '267': 1, '346': 1}
single~interpreting	{'160': 1}
single~symbol	{'160': 1}
single~equivalent	{'160': 1}
variate~square	{'160': 1}
single~variate~square	{'160': 1}
distribution~root	{'160': 1, '464': 1}
variate~distribution~root	{'160': 1}
single~variate~distribution~root	{'160': 1}
mean~example	{'160': 1}
population~mean~example	{'160': 1}
distribution~population~mean~example	{'160': 1}
single~normal	{'160': 1}
single~distribution	{'160': 1}
single~obtain	{'160': 1, '346': 1}
variate~unbiased	{'160': 1}
single~variate~unbiased	{'160': 1}
distribution~estimator	{'160': 1}
variate~distribution~estimator	{'160': 1}
single~variate~distribution~estimator	{'160': 1}
single~sample	{'160': 3}
single~source	{'160': 1}
distribution~extreme	{'160': 1, '467': 1, '476': 1, '480': 1, '490': 1}
variate~distribution~extreme	{'160': 1}
single~variate~distribution~extreme	{'160': 1}
population~care	{'160': 1}
distribution~population~care	{'160': 1}
variate~distribution~population~care	{'160': 1}
mean~should	{'160': 1}
population~mean~should	{'160': 1}
distribution~population~mean~should	{'160': 1}
population~exercised	{'160': 1}
mean~population~exercised	{'160': 1}
variance~consulting	{'160': 1}
population~variance~consulting	{'160': 1}
mean~population~variance~consulting	{'160': 1}
written~literature	{'160': 1}
variance~written~literature	{'160': 1}
population~variance~written~literature	{'160': 1}
population~convention	{'160': 1}
written~population~convention	{'160': 1}
variance~written~population~convention	{'160': 1}
denotes~uninformative	{'160': 1}
mean~denotes~uninformative	{'160': 1}
population~mean~denotes~uninformative	{'160': 1}
expectation~notation	{'160': 1}
denotes~expectation~notation	{'160': 1}
mean~denotes~expectation~notation	{'160': 1}
variate~variance	{'160': 3}
single~variate~variance	{'160': 3}
single~data	{'160': 3}
single~root	{'160': 1}
single~free	{'160': 1}
single~estimated	{'160': 1}
variate~data	{'160': 1}
single~variate~data	{'160': 1}
population~appropriate	{'160': 1}
distribution~population~appropriate	{'160': 1}
variate~distribution~population~appropriate	{'160': 1}
mean~use	{'160': 1}
population~mean~use	{'160': 1}
distribution~population~mean~use	{'160': 1}
single~very	{'160': 1}
loosely	{'160': 1, '523': 1}
variate~loosely	{'160': 1}
single~variate~loosely	{'160': 1}
speaking	{'160': 1}
single~without	{'160': 1}
variate~knowing	{'160': 1}
single~variate~knowing	{'160': 1}
single~order	{'160': 1}
variate~estimate	{'160': 1}
single~variate~estimate	{'160': 1}
single~priori	{'160': 1}
variate~need	{'160': 1}
single~variate~need	{'160': 1}
uncorrected	{'160': 1}
turns	{'160': 1, '245': 1}
single~out	{'160': 1}
variate~quantity	{'160': 1}
single~variate~quantity	{'160': 1}
variate~linear	{'160': 1}
single~variate~linear	{'160': 1}
transformation	{'160': 1, '163': 1, '199': 1, '261': 2, '271': 2, '281': 2, '507': 4, '561': 2}
distribution~transformation	{'160': 1}
variate~distribution~transformation	{'160': 1}
single~variate~distribution~transformation	{'160': 1}
variate~distribution~definition	{'160': 1}
single~variate~distribution~definition	{'160': 1}
single~sum	{'160': 1}
variate~similar	{'160': 1}
single~variate~similar	{'160': 1}
variate~central	{'160': 1}
single~variate~central	{'160': 1}
population~charlier	{'160': 1}
distribution~population~charlier	{'160': 1}
variate~distribution~population~charlier	{'160': 1}
population~covariance	{'160': 1}
mean~population~covariance	{'160': 1}
population~error	{'160': 1}
written~population~error	{'160': 1}
variance~written~population~error	{'160': 1}
value~raw	{'160': 1}
expectation~value~raw	{'160': 1}
denotes~expectation~value~raw	{'160': 1}
discrete~distribution~sample	{'160': 1}
value~discrete~distribution~sample	{'160': 1}
value~sample	{'160': 1}
possible~value~sample	{'160': 1}
distribution~possible~value~sample	{'160': 1}
population~variance	{'160': 1}
value~population~variance	{'160': 1}
possible~value~population~variance	{'160': 1}
whereas~sample	{'160': 1}
variance~whereas~sample	{'160': 1}
population~variance~whereas~sample	{'160': 1}
continuous~variance	{'160': 1, '531': 1}
whereas~continuous~variance	{'160': 1}
sigma	{'160': 1, '163': 4, '166': 1, '172': 1, '224': 1, '243': 1, '495': 1, '496': 1, '502': 1, '507': 1}
equal~standard	{'160': 1}
variance~equal~standard	{'160': 1}
distribution~variance~equal~standard	{'160': 1}
central~statistical	{'160': 1}
second~central~statistical	{'160': 1}
equal~second~central~statistical	{'160': 1}
standard~coefficient	{'161': 1}
set~sample~standard	{'161': 1}
deviation~set~sample~standard	{'161': 1}
involving~two	{'162': 1}
variable~opposed	{'162': 1, '171': 1}
two~variable~opposed	{'162': 1}
involving~two~variable~opposed	{'162': 1}
opposed~many	{'162': 1}
variable~opposed~many	{'162': 1}
two~variable~opposed~many	{'162': 1}
involving~multivariate	{'162': 1, '168': 1, '171': 1}
variable~bivariate	{'162': 1, '170': 1}
two~variable~bivariate	{'162': 1}
involving~two~variable~bivariate	{'162': 1}
many~bivariate	{'162': 1}
opposed~many~bivariate	{'162': 1}
variable~opposed~many~bivariate	{'162': 1}
multivariate~normal	{'162': 1, '167': 1, '169': 5, '170': 3, '172': 1}
many~multivariate~normal	{'162': 1}
opposed~many~multivariate~normal	{'162': 1}
bivariate~normal	{'163': 9, '261': 1, '322': 3, '461': 1, '469': 1, '516': 1}
normal~distribution	{'163': 4, '169': 2, '170': 1, '172': 1, '465': 2, '507': 13, '522': 1}
bivariate~normal~distribution	{'163': 4}
distribution~statistical	{'163': 1, '566': 1}
normal~distribution~statistical	{'163': 1}
bivariate~normal~distribution~statistical	{'163': 1}
normal~statistical~distribution	{'163': 1}
bivariate~density	{'163': 2}
whittaker	{'163': 1, '507': 1}
normal~whittaker	{'163': 1}
bivariate~normal~whittaker	{'163': 1}
robinson	{'163': 1, '507': 1}
distribution~robinson	{'163': 1, '507': 1}
normal~distribution~robinson	{'163': 1}
bivariate~normal~distribution~robinson	{'163': 1}
multinormaldistribution	{'163': 1, '169': 1}
mu	{'163': 2, '493': 1, '494': 1, '495': 1, '496': 1, '498': 1, '507': 1, '551': 1}
multivariatestatistics`	{'163': 1, '169': 1, '172': 1, '492': 1, '523': 1}
marginal	{'163': 1, '219': 2, '557': 1, '564': 2}
bivariate~independent	{'163': 1}
distribution~unit	{'163': 1}
normal~distribution~unit	{'163': 1}
bivariate~normal~distribution~unit	{'163': 1}
distribution~probability	{'163': 1, '460': 1, '472': 1, '475': 1, '512': 1, '522': 1, '539': 1, '550': 1, '556': 1}
normal~distribution~probability	{'163': 1}
bivariate~normal~distribution~probability	{'163': 1}
independently	{'163': 1, '178': 1, '225': 1, '261': 1, '294': 1, '327': 1, '337': 1, '402': 1, '465': 1, '504': 1}
bivariate~independently	{'163': 1}
normal~distributed	{'163': 2, '465': 1}
bivariate~normal~distributed	{'163': 2}
themselves	{'163': 1, '244': 1, '257': 1}
bivariate~normally	{'163': 1}
joint	{'163': 1, '169': 1, '176': 1, '213': 1, '219': 1, '236': 1, '254': 1, '426': 1, '429': 1, '485': 2, '510': 1, '549': 1, '556': 1, '558': 3, '562': 1}
bivariate~probability	{'163': 2}
normal~density	{'163': 1, '465': 1, '507': 1}
bivariate~normal~density	{'163': 1}
normal~distribution~function	{'163': 1}
bivariate~normal~distribution~function	{'163': 1}
expanding	{'163': 2, '351': 1, '537': 2}
numerator	{'163': 1}
solving	{'163': 1, '183': 1, '195': 1, '241': 1, '261': 1, '321': 2, '328': 1, '339': 1, '513': 1}
jacobian	{'163': 1, '236': 1, '261': 1, '482': 2}
qed	{'163': 1, '222': 1}
bivariate~integral	{'163': 1}
bring	{'163': 1}
bivariate~bring	{'163': 1}
normal~exponential	{'163': 1}
bivariate~normal~exponential	{'163': 1}
bivariate~inner	{'163': 1}
bivariate~term	{'163': 1}
braces	{'163': 1}
normal~braces	{'163': 1}
bivariate~normal~braces	{'163': 1}
sine	{'163': 1}
bivariate~sine	{'163': 1}
normal~term	{'163': 1}
bivariate~normal~term	{'163': 1}
vanishes	{'163': 1, '513': 1}
statistical~left	{'163': 1}
distribution~statistical~left	{'163': 1}
normal~distribution~statistical~left	{'163': 1}
explicit	{'163': 1, '183': 1, '368': 1}
bivariate~explicit	{'163': 1}
normal~form	{'163': 1}
bivariate~normal~form	{'163': 1}
singular	{'163': 1}
bivariate~case	{'163': 1, '322': 1}
quadrant	{'163': 1, '170': 1}
normal~special	{'163': 1, '170': 1}
bivariate~normal~special	{'163': 1}
distribution~case	{'163': 1, '170': 1, '507': 1}
normal~distribution~case	{'163': 1, '170': 1, '507': 1}
bivariate~normal~distribution~case	{'163': 1}
analytically	{'163': 1, '170': 1, '304': 2, '327': 1, '503': 1, '504': 2, '527': 2, '543': 2, '563': 1}
statistical~analytically	{'163': 1}
distribution~statistical~analytically	{'163': 1}
normal~distribution~statistical~analytically	{'163': 1}
bivariate~smith	{'163': 1}
stuart	{'163': 1, '170': 1}
normal~stuart	{'163': 1, '170': 1}
bivariate~normal~stuart	{'163': 1}
ord	{'163': 1, '170': 1}
distribution~ord	{'163': 1, '170': 1}
normal~distribution~ord	{'163': 1, '170': 1}
bivariate~normal~distribution~ord	{'163': 1}
statistical~rose	{'163': 1}
distribution~statistical~rose	{'163': 1}
normal~distribution~statistical~rose	{'163': 1}
statistical~distribution~smith	{'163': 1}
distribution~continuous	{'163': 1, '167': 1, '169': 1, '170': 1, '461': 1, '463': 2, '464': 1, '467': 2, '472': 1, '473': 1, '475': 1, '480': 1, '482': 1, '483': 1, '484': 1, '486': 1, '487': 1, '488': 1, '489': 1, '491': 1, '492': 1, '493': 1, '494': 1, '497': 1, '498': 1, '499': 1, '500': 1, '501': 1, '503': 1, '507': 1, '522': 1, '523': 1, '525': 1, '527': 2, '532': 1, '533': 1, '559': 1}
normal~distribution~continuous	{'163': 1, '169': 1, '170': 1, '507': 1, '522': 1}
bivariate~normal~distribution~continuous	{'163': 1}
box-muller	{'163': 1, '261': 1, '281': 2, '507': 2}
distribution~box-muller	{'163': 1}
statistical~distribution~box-muller	{'163': 1}
density~correlation	{'163': 1}
probability~density~correlation	{'163': 1}
distribution~probability~density~correlation	{'163': 1}
coefficient--bivariate	{'163': 1, '321': 1, '322': 1}
function~coefficient--bivariate	{'163': 1}
density~function~coefficient--bivariate	{'163': 1}
probability~density~function~coefficient--bivariate	{'163': 1}
correlation~normal	{'163': 1}
function~correlation~normal	{'163': 1}
density~function~correlation~normal	{'163': 1}
pp~multivariate	{'163': 1}
kenney~pp~multivariate	{'163': 1}
correlation~kenney~pp~multivariate	{'163': 1}
whittaker~normal	{'163': 1}
pp~whittaker~normal	{'163': 1}
kenney~pp~whittaker~normal	{'163': 1}
p~normal	{'163': 1}
robinson~p~normal	{'163': 1}
whittaker~robinson~p~normal	{'163': 1}
price	{'163': 1, '358': 1, '359': 1, '360': 3, '361': 1, '362': 1, '363': 1, '364': 1, '365': 1, '516': 1}
probability~price	{'163': 1}
covariance~probability~price	{'163': 1}
trivariate	{'163': 1, '169': 1, '170': 2}
function~trivariate	{'163': 1}
density~function~trivariate	{'163': 1}
probability~density~function~trivariate	{'163': 1}
function~bivariate~normal	{'163': 1}
density~function~bivariate~normal	{'163': 1}
cluster	{'164': 7, '165': 1, '166': 3, '254': 2, '349': 3}
cluster~analysis	{'164': 2}
analysis~technique	{'164': 1}
cluster~analysis~technique	{'164': 1}
classification	{'164': 1}
technique~classification	{'164': 1}
analysis~technique~classification	{'164': 1}
cluster~analysis~technique~classification	{'164': 1}
classification~data	{'164': 2}
technique~classification~data	{'164': 2}
analysis~technique~classification~data	{'164': 1}
data~elements	{'164': 2}
classification~data~elements	{'164': 1}
partitioned	{'164': 1, '219': 1}
elements~partitioned	{'164': 1}
data~elements~partitioned	{'164': 1}
clusters	{'164': 2}
group~clusters	{'164': 1}
partitioned~group~clusters	{'164': 1}
elements~partitioned~group~clusters	{'164': 1}
represent	{'164': 1, '253': 1, '367': 2, '395': 2, '463': 1}
clusters~represent	{'164': 1}
group~clusters~represent	{'164': 1}
partitioned~group~clusters~represent	{'164': 1}
collection~data	{'164': 1}
represent~collection~data	{'164': 1}
clusters~represent~collection~data	{'164': 1}
collection~data~elements	{'164': 1}
represent~collection~data~elements	{'164': 1}
proximate	{'164': 1}
elements~proximate	{'164': 1}
data~elements~proximate	{'164': 1}
collection~data~elements~proximate	{'164': 1}
proximate~based	{'164': 1}
elements~proximate~based	{'164': 1}
data~elements~proximate~based	{'164': 1}
based~distance	{'164': 1}
proximate~based~distance	{'164': 1}
elements~proximate~based~distance	{'164': 1}
dissimilarity	{'164': 1}
distance~dissimilarity	{'164': 1}
based~distance~dissimilarity	{'164': 1}
proximate~based~distance~dissimilarity	{'164': 1}
findclusters	{'164': 2, '165': 1}
pilot	{'164': 1}
dark	{'164': 1}
matter	{'164': 1, '199': 1, '245': 1}
cluster~crime	{'164': 1}
cluster~analysis~drama	{'164': 1}
feature	{'164': 1}
analysis~cluster	{'164': 1}
math	{'164': 1, '395': 2}
classification~math	{'164': 1}
technique~classification~math	{'164': 1}
analysis~technique~classification~math	{'164': 1}
genius	{'164': 1}
data~genius	{'164': 1}
classification~data~genius	{'164': 1}
technique~classification~data~genius	{'164': 1}
data~charlie	{'164': 1}
classification~data~charlie	{'164': 1}
elements~eppes	{'164': 1}
data~elements~eppes	{'164': 1}
partitioned~runs	{'164': 1}
